A - a

a kind of bird	कंचर गाड्‍दी
·	तोल्‍कमड
droppings (animal)	हडपी कुप्‍पा
drown	एते मुडाह्मड़
·	एते मुडुंगमड़
·	पोङमड़
·	मुडहुडु
drug	मत्तु
drugs	गंजय
drum (kind of)	डप
·	डिम्‍की
·	तासे
·	तुडूं
·	सति पोरो होनानेंके तनना डोलू
drummer	डोल तनानोर
drumstick	डोल सिर्रा
dry (cook)	पिडुहतव
dry (to)	वत्तुडु
dry cow dung	पिडका
dry up	वत्तिस होनमड़
dry.mouth	तोड्डि वतमड़
dry.skin.that.comes.out	तित्ती
drying pole (for clothes)	दंडेम
dumb (f.)	मूके
dumb (m.)	मूकाल
dung	हडपी
durable	गट्टिगा
during the evening	नुल्पे
dust	दुब्बा
·	दुम्मु
·	दूली
dust off	उसुममड़
dust.in.the.nose	मोसोटे दुम्मु होळियमड़
duty (take guard)	जाग्लींग-पी-
dwarf	कुर्सा
·	गूनोड
dye	रंगु
dysentry	पुर्रु
·	पेलका दोसमड़

E - e

eagle	गुवाडॆगा
ear (pl.)	केव्क
ear (sg.)	केव्वु
ear drum	गूबा
ear.rings	पॊगुल्‍क
earlier	तोल्‍लो
·	नङा
·	मोदगाला
·	मोदोल
earlier time (sg.)	मुन्नेटा जमानाते
early in the morning (emph)	हक्‍केरेन
earn	कमय कियमड़
ear-ring (with bells)	केवपॊगू
earth	तोडी
·	बूलोकम
earthen pot	ऐरेन अड़का
earthquake	बूमी ऊंगमड़
earthworm	एर्रापुडी
·	गालम पुडी
·	येर्रा पुडी
earwax	जिब्‍बुल
east	तूरपु
eat	गाटो तिन्‍मड़
·	तिनुड
eat.tobacco	पोग्‍गो तिन्‍मड़
eating	नास्‍ता
eaves	जापुर दोहामड़
ebony (tree)	तुम्मिर मरा
edge	अंचू
edible root (kind of)	गड्डा
·	तेल्‍ला गड्डा
egg (pl.)	मेस्क
egg (sg.)	मेंज
egg of fish	सेन्ने(जिम्मा मेस्‍कु)
egg plant	हापाकाया
egg.of.bird	पिट्टे मेस्‍कु
egg.of.frog	पन्ने मेस्‍कू
egg.of.snake	तरास मेंजू
egg.of.sparrow	कोड़का पिट्टे मेंजू
egg.of.spider	बल्‍ली गुड्डु
egg.without.yolk	नीलम वत्तुता मेंजू
eggshell	कोरडॊकी
eight	एनमिदि
Ekadeshi.festival	आकाडि
elbow	कुंडम कय
elder	पेदा मनकल
elder brother	दादल
elder brother in law	पेदा मुरीयल
elder brother's wife	अंगे
elder sister	अक्‍कल
·	बायि
electricity	करंट
elephant	एनी
elope	तेहाचि ओयमड़
embankment	ओड्डू
·	कट्टा
embrace	आलिंगन हियमड़
embryo	बोतता पिंडेम
emerge	पेय्‍समड़
·	वीय-
emphatic particle	ते
employment	बूती
empty	रिकोम
empty out	रिकोम कियमड़
enclosure	दोड्डी
end	द्रुवा
end (in the)	आकीरि
end (of rope)	जुट्टि
end of an object	कोस्‍सा
end of sword	पिडि
end portion of dhoti	कोंगु
end.of.dress	गोसी
enough	आंता
·	आंता
·	पुर्ता
enter	नेंग-
·	पोद-
enter into	होडियमड़
entirely	पडिं
entrails	पोदूर
entrance (covered)	अरगु
entwine	नोटुडु
equipment	वीसोरा
erect	डिङ-
erect (make)	निपूस्मड़
eroded.mud	पिर तंचोओता मन्नु
erosion	एर कोय्‍सी अरगुमड़
erupt	मॆयमड़
escape (to)	निस्‍टेमायमड़
escaped	पिस्‌ता
eunuch	आडिगुंल्‍लोड
evaporate	वत्तिस होनमड़
even	इंका
even then	आय्‍ना
evening (during)	नुल्पे
every year	एड़ादिक उंदिमल्‍का
everybody (m.)	बोत्तिटोर
everybody (nm.)	अन्नि
everything	अन्नि
evidence	जाड़ा
evil spirit (kind of)	देय्यम
excrement (human)	पींग
excreta	गोद्दे
exhale	वळी पलाते होळ्‍समड़
exhale.deeply	उंदेमल्‍का लगांची वळी होळ्‍समड़
exhausted (be)	तकांच्मड़
exhausted (become)	कंडतेम आयमड़
expect	हर्री हूडमड़
expenditure	कर्सु
experience (to)	वेसमड़
express disappointment	अय्यो
express surprise	अब्बा
expression (of surprise)	अय्‍यो
extinguish	पिहमड़
extinguished	पिर्रुड़
eye	कड़
eye colour	काटके
eye.lids	कडु रेप्‍पा
eyeball	कड़ु गुड्डु
eyebrow	कड़-पापा

F - f

face	मोकोम
face.like.a.monkey	कोंडेंगा मुसकिरी
faeces	पींग
fair (big)	जातरा
fall	अर्रुडु
·	उड़गुमड़
fall (cause to)	अर्हुडु
fall (to)	कुसुडु
fall down	हिड अरमड़
fall from mouth	उस्‍कुड
fall.into.eyes	कळकुने अर्रमड़
fall.out	पलते अरमड़
falling stone trap	उर्री
falsehood	लप्पंगी
family (member, m.)	लॊतोर
fan (air)	एर्किच्मड़
fang	पल्‍लू
far	दूरम
·	लक्‍कु
farm	चेंची-की-
farmer	कास्‍तकारी कियनोर
·	नॆली कियनोर
farming	एवसायम
fart	पिह्‍कुमड़
fast.flow.of.liquid	सिम्मुमड़
fat	कोड़ंज़
·	दोड्डू
·	मोद्दु
fat (m.)	पेद्दोड
fat (to become)	मोद्दु मॆंदुल
fat.oil	कोडंज निय्यू
father	बाबा
father and mother	तलुर-बाबो
father and son	बाबो-मर्रि
father's brother	नानाल
father's elder brother's wife	पेद्दि
father's father	मातिर दादल
father's mother	अम्मल
father's sister	आत्ताइ
father's sister's husband	मामल
father's younger brother	सिने नानाल/काकाल
father's younger brother's wife	काकी
·	यायाल(सिन्नी)
father-in-law	मामाल
father-in-law (of child)	पारी
fathers elder brother	पेपि
favourite	नच्‍चतद
fear	पिरकितनम
feast	गाटो तिनुड़
·	सब्बा
feather	बूरा
·	रेक्‍का बूरा
feed	तिनना तिंडि
·	तिहमड़
feel sorry	तप आता इंचि ओपुकुन्‍मड़
·	तप ओप्‍कुनमड़
fell	अर्ता
fellow clan member	जीवातोर
fellow clan member (f.)	पाडीता
fellow clan member (m.)	पाडीतोर
felt (to be)	वेसमड़
female	तलुर
female horse	तलुर गुर्रम
female.dog	दोटेनय
fence	वेलूंग
fencing wire	पेन्सिंग तार
fenugreek seeds	मेंतुल्‍क
festival	पंडुगु
festival (holi)	होली (कामुन पुन्नम)
fetch	एतमड़
fever	एडकी
fiddle-like (instrument)	कींकिर
field	नॆली
fifteen	पदिहेनी
fig tree	पूसि मरा
fig tree (kind of)	तोया मरा
fight	उर्रे अरमड़
·	जगडम
·	जग्डाल्‍क
file	सेक्‍का पैमड़
fill	नीहुडु
·	वेडी/एर दोसमड़
filled (to be)	निंडिसी
filter	जल्‍लेडा पियमड़
filtering	वड़ा पिय्युड
fin (of fish)	मीसम
finger	बोट्टा
finger (little)	सिट्‍केन वेलू
finger board (of musical instrument)	पहारा (टहारा)
fingernail	गॊरु
fingers	वेल्‍कु/वंड्‍जुक
finish	महमड
finish off	हव्‍कुडु
finished (to be)	मारमड़
finishing	आकीरि
fins	रेप्‍पां
fire	तडिमि
·	तडिमिं
fire (gun)	एसमडु
fireplace	मरा बॊलु
firewood	येद्दा कट्टे
firewood (thick)	मोट्‍कु
firewood (thin)	कट्टे
firework	पटाकी
firm	गट्टिगा
first	तोल्‍लो
·	मोदगाला
fish (generic)	मीन
fish (kind of, small, pl.)	कर्रे पोर्सु जिम्मां/मीन्‍कु
fish (kind of, small, sg.)	कर्रे पोर्सु जिम्मा/मीन
fish (kind of)	कोडजेल्‍ला(जिम्मा/मीन)
·	नरमे
·	पोड्द (मीन)
·	बक्‍के
·	बुडा बर्का(जिम्मा/मीन)
·	बोट्टे
·	रुद्दे जिम्मा
·	रोय्या
·	वालगु जिम्मा (मीन)
fish basket	तोत्ती
fish bone(s)	जिम्मा हाप
fish hook	गालम
fisherman	ओडाल
·	बेस्‍तल
fisherman's wife	बेस्‍ते
fishing net	ओल्‍ला
fishing rod	गालमसुव्‍वा
fist	पिडकिलि
fit in	लोप्‍पो वाटमड़
fitting (be)	जोडांच्‍सेके
five	हेय्यूर
five (nm.)	हेय्यूं
fix	अंटकुन्‍मड
flag	जेंडा
flag god	जेंडा-पेन
flame	मिनगुर
flame of the forest tree	मुर मरा
flaming	पोत्तंता
flash	मेरसमड़
flashing	जिगजग आयमड़
flat pan	पेनेम
flats	मिद्दे
flavourless	सप्‍पगा
flesh (piece)	कंडा
flint (with steel)	जकामुका
flint stone	जकामुका बंडा
float	तॆलुडु
floating.rock	शीलम
flock (birds)	कत्‍पु
flock of deer	जिंकाना मंदा
flock of sheep	गोर्रेना मंदा
flog	सिन्नारी-की-
flood	पाया अरमड़
floor	नॆला
flour	पिंडि
flow	पोङमड़
flow.of.mucus	सिमिडी पेय्‍समड़
flower	पूता
flower (kind of)	बंती पूता
flower (of maize)	रेला पूता
flower (to)	पूयुडु
flutter.wings	रपरपा कियमड़
fly	गुड्डी वीसी
·	परीयमड़
·	वीसी
fly up	तेदा
fly.away	परियसि वितमड
flying ant	ईसुल
foal	गुर्रम पोरी
fog	मूळम
fold	जोडांच्मड़
·	मड़ता
·	मडता किसी इरमड़
fold (a cloth)	गडे कियमड़
fold hands (for worship)	दंडम तासमड़
follow.in.footsteps	अड़गुना पज्‍जो अड़गु वाटमड़
fontanelle	माडा
food (kind of)	पल्‍कुल्‍कु
·	पुटनाल्‍कु
·	सामा
food offering	पलारम
food scraps	वतिसोन्‍मड़
food scraps fed to cattle	तवडु
foolish	बुद्दि हिल्‍वोर
foot (part of)	अरि काल
footprint	अडगुल्‍कु
for	हाटीं
for that reason	दान हाटीं
for this reason	इदुन हाटीं
ford	एक्‍किस होनमड़
forehead	कपर
forest	आरण्यम
·	केडा
forge (implements)	कोलिमते काचुह्मड
forget	मरगुमड़
forward	मुन्ने
found	मूता तेंडमड़
found (to be)	दोर्कमड़
foundation	पुनादी
foundation (of house)	ओड्डू
foundation.stone	पुनादि बंडा
founded (to be)	मोप आयमड
four (m.)	नालुर
four (nm.)	नालुं
four days from now	नालूं रोजकुंक
fowl	कोर्रु
fowl (wild)	केडाकोर
fox	कोलयल
·	नक्‍का
Fox	कोंका नक्‍का
fragrance	गमगमा गब्‍बु
frame of cart	साटवा
frayed rope	जुट्टि
free	पुकेम
frenchcut.beard	पिल्‍ली गड्डेम
fresh (food or water)	ताज्या
fresh water	मंचि एर
fresh-water shrimp	रोय्या
Friday	सुक्‍क्रारम
fried gram	पुटनाल्‍कु
friend (f.)	संगो(मेना मामाना/अत्ताइना मिय्यडु)
friend (m.)	संगी(मेना मामाना/अत्ताइना मर्री)
frighten	वेराहमड़
frighten away animals (stick to)	लोटारम
frock	जगा
frog	पन्ने
frog (brown)	नास-पन्ने
from above	पोरोटाल
from all sides	बेंदा-हेक्के
from here (nm.)	इग्गेटल
from there (nm.)	अगटाल
from village to village	नार-नार
from where?	बेंदाल
fruit (immature)	पिंदे
fruit (ripe)	पंडि
fruit (to bear)	हादुड
fry	बोड्‍समड
frying pan (iron)	कंचुड
·	कच्चिता पेनेम
fuel for fire	गोमेरा(हडपी)
full (to be)	निंडमड़
full grown (m.)	मुर्तोर
full grown (nm.)	मुर्ता
full up (to be)	निंडिसी
fume	पोया
fun	गम्मत
funeral pyre	हातोन बोड्समड़
funnel part of seed drill	लोट्टा
furrow dug along by plough	सालु
furry	बुरसल

G - g

game	आटा कर्समड़
game (kind of)	कोलाटम
·	तोक्कुड-बंडा
·	सिर्रा-गोने
Ganges	गंगा
garbage	काडी कचरा
garden	तोटा
garden.lizard	मिंदो
gardening (to do)	पोस कियमड़
garland.of.flowers	पुङह्‍कुन दुम्मे
garlic	एल्‍पाया
garnished.butter.milk	ताल्‍प वाटता पेरगु
gas	गैस
gate	गलमा पिड़पू
gather	जमा कियमड़
·	रह-
gather (together)	जमा आयमड़
gazelle	कोंडागोर्रे
generous	मंचि मन्‍सुनोर
geography	बूगोलशास्‍त्रम
germination	पिरमड़
gestation.began	पोद्‍गु कियमड़
get	कमय कियमड़
get crowded	वेल्‍लेन गर्दि
get down	रेय्युडु
get fat	मोद्दु मॆंदुल
get lost	तप्‌सोन्‍मड़
·	रालसोन्‍मड़
get ready	सवरिच्‍चुड
get stuck	तटकुनमड
get up	तेदा
get wet	नांदमड़
get.irritated.in.the.nose	मोसोरते गुलागुला आयमड़
get.stuck.up.in.the.throat	गोंदकेते बतलना हिरकुमड़
getting.water.in.the.nose	मोसोटे एर होळियमड़
ghee	पाल-निय
ghee.of.buffalo.milk	बर्रे पाल निय्यु
ghee.of.cow.milk	गोड्डु पाल निय्यु
ghee.of.goat's.milk	एटी पाल निय्यु
gift	अरनम
·	कपडीं तासमड़
giggle	मुसमुसा कवमड़
gills	जिम्मा सेक्‍ली
·	सेक्‍ली
ginger	पच्‍चिअलम
girl	पेगिड
girl (daughter)	मियड
girl (newborn)	सिन्ने पेगिड
girls	पेकिंग
give	हिय्युडु
give birth to (animal)	वहुडु
give up	होड़सीय्मड़
glance	माड्कमड़
glance (a)	नदर
glance (to)	नदर वाटमड़
glass	गिलास
glow worm	मिनका पुडि
glue	अंटकुन्‍मड
glycerine	ग्‍लिसिरिन
gnaw	कोर्कुड
go	दा-
go along the road	हर्रि पिसि ताकमड़
go off	मुर्ग-मुर्ग
go out	पेय्‍समड़
go through narrow space	कडसि होन्‍मड़
go up	एक्‍किस होनमड़
go wrong	बह्‍कांचुड
go.into,cave	सोर्रेते/पुत्तीते होडियमड़
go.to.bathroom	बातरुम होन्‍मड़
goad	मुलकट्टे
goat	एटी
·	एटी पॊतू
goat shed	अर्रा
goat.milk.like.smell	जिड्डु-जिड्डु
god (generic)	पेन
god (name of a)	आकि-पेन
·	पेर्सा पेन
·	पोसम्मल
·	बीमाल
·	मय्‍सम्मा पेन
·	येत्मा
·	सति देवुळ
gold	बंगारम
gold.pearl	बंगारि पूसां
Gond	कोया
Gond (f.)	कोय्‌तड
Gond (m.)	कोय्‌तोर
gond's.god.pochamma	अव्वतल्‍ली
Gondi language	कोया बाषा
gone out	पिर्रुड़
good	पिव्‍वर
·	बॆस
·	मंचिगा
·	मंचिदि
·	सादा-सिंपल
good-for-nothing	डंडुग
good-for-nothing person	डंडूल
goods	सामन
goods (cultivated)	पंटा
gore	कोह्कुडु
gorge	लोद्दी
gorgeous	जोरदार
gorilla	गोरिला
gossiper	नार तिरियनोर
got (to be)	पावांच्मड़
gotten (to be)	दोर्कमड़
gourd (Balsam pear)	कारले काया
gourd (kind of)	पुर्का
·	बोदेल
gourd (sponge)	बीरे काया
gourd-bearing tree	कुमूड (मर्रा)
grain (kind of, small)	सामा
grain remaining after threshing	पर्गे
grain.offering	सेसा
gram.flour	बेसन
granddaughter	तङ्‌मियाड
grandson	तङ्‌मरी
grass	जाडि
grass (kind of)	एर्रागोल्‍ला जाडी
·	गर्का जाडि
·	चुक्डा (-जाडि)
·	तिकाडी (-जाडि)
·	तुंगा जाडी
·	तेर्वी (जाडि)
·	मल्वा (-जाडि)
·	मार्वेलि (-जाडि)
·	सिर्पूट (-जाडि)
·	हेपुर जाड़ी
grass.bundle	जाडी कट्टा
grasshopper	गोल्‍लाबामा
·	जाडि गुर्रम
grass-pulling tool	गुंटुक
grave	वीच/बोंदा
graze	मेयुडु
graze.in.the.night	नर्कळ्‍क मेयंता
grease	कंदेना
green	पच्‍चगा(आकी)
green bean	गोरु सिक्‍कुड काया
green gram	पेसेल
green.grass	पच्‍चा जाडी
greet	आलिंगन हियमड़
·	दंडोस की-
greeting	नमस्‍कारम
grey-haired (become)	पिड्‍सुड
grind	नोरमड़
grind into paste	कोह्‍का
grindstone	जोत्ता
groove.formed.by.constant.use	ताकिसी-ताकिसी तयार आता लोद्दी
ground	तोडी
groundnut	बूजन्‍ंगा
group	मंदोटा
group (cattle)	मंदा
grove	गुबुर
grow	बेर्समड़
grow (of plants)	मुदुरमड
grow grey (haired)	पिड्‍सुड
grow.hair	केल्‍क वायमड़
growing.up	अवुना बेरस्मड
growl	मूल्‍गुमड़
guard	कापाडमड़
guard (take)	जाग्लींग-पी-
guarding (crops)	जागिल
guava tree	जाम मर्रा
guess	एरपाट मन्‍मड
guest (f.)	हेड़मीतद
guest (m.)	हेड़मीतोड़
gul-mahua tree	इर्क मरा
gum	बंका
gun	तुपाकी
gun (part of)	केव्‍वु(तुपाकीतद)
gush out	बुड्का

H - h

habit	अलबट
hail	करगना बंडा
·	पाटा बंडा
hair	केल्‍लु
hair (tuft)	जुट्टि
hair bunch	जेडा
hair parting	बामेरा
hair.fall.of.animals	बूरा कुसमड़
hair.growth	बूरा बेर्समड़
hair.on.the.end.of.a.tail	सेल्‍ली
hairs of tail	तॊका बूरा
hairy	बुरसल
half	सगोम
half kilogram measure	अरसोला
half.trouser	लागू
halter	दामीड
·	मुकदाड
ham	रोंडि
hamlet	सिन्ने नार
hammer	सुत्ते
hand	कय
hand (of watch)	काटा
hand (part of)	अरि कय
handful	पिडकी मेड
handful (of food)	बुक्का
handkerchief	दस्तीगुड्डा
handle (harrow)	रुम्मेना
handle (plough)	पाले
handle (round, metal)	कडेम
handle (short)	पिडकिलि
hands (open)	दोसिल
handsome	सादा-सिंपल
hang (clothing)	वेलड वाटमड़
happen	आ-
happily	कुसी-कुसीते
·	कुसी-गम्मतिते
happiness	गम्मत
happy	कुसिते
·	कुसी
hard	गट्टिगा
·	गट्टिगा
hard interior of stick	सॆगा
hare	कुंदेल
harmonium	पेटि
harness (part of plough)	साप्ती/कर्रु
harvest	पंटा
harvest festival	बुर्सिक
hat	टोपी
hat (of leaves)	गिंड़गीं
hat (peacock feather)	मल-टोपि
hatch (bird)	वोह-
hatch (eggs)	करोलमड़
hatching.from.eggs	मेंजू पय्‍सी पोरी पलाते अरमड़
have a meal	गाटो तिन्‍मड़
hawk	गुवाडॆगा
·	पुराड-देगो (पिट्टे)
he (dist.)	वोर (ओर)
he sheep	गोर्रे पोतु
he.fell	अर्तोर
head (soft spot)	माडा
head of household	मालक
head pad	हुम्मर
head-dress (peacock feather)	मल-टोपि
headman of village	पाट्लाल
headman's wife	पाट्ले
healed (be)	मगमड़
healthy (to be)	सुद्रंचा
heap	कुप्पा
·	कुप्‍पा कियमड़
·	गुप्‍पा
·	पाल्‍कू पंचुमड़
·	रच्ची-की-
heap.of.stones	बंडाना कुप्‍पा
hear	केंजमड़
heartbeat	डकडक आयमड़
heat	कासुडु
heat (make)	कासुह्मड़
heaven	सरगम
heel	मड़मे
heifer	पड्डा पेय्या
height	एत्तू
Hell	पातालम
help	मदत
hem	अंचू
hemp	जनुम
hen	कोर्रु
hen's egg	कोरमेंजू
henna	मेंदी
her (dist.)	अदुन/दान
her (prox.)	दानद
her own (dist.)	सततद
herd	मंदा
herd of cows	गोड़कुना मंदा
herd.of.buffalo	बर्रेना मंदा
herd.of.deer	दुप्‍पीना मंदा
herd.of.deers	मांग्‍कुना मंदा
herd.of.goats	एटीना मंदा
herd.of.pig	पद्दीना मंदा
herdsman	गोड़्क कोहानोर
herdswoman	गोड़्क कोहनद
here	इग्गे
here (take this)	इदे
here and there	हिके-हेके
hereditary musicians of Gonds	पाटडि
hesitation	अन्मानम
hiccup	एक्‍कुल्‍कु
hide	मक्‍कमड
hide (from harm)	रोमबोच्‍चें कल्‍पमड़
hide (skin)	तॊल
hide (something)	मक्‍किच्मड
hide one self	होडियमड़
high mountain	एत्तु गुट्टा
high place	बोग्डा
high shelves	अट्‍कु
higher.and.higher	एत्तुंक एत्तु
hill	गुट्टा
·	सिन्ना गुट्टा
hills and mountains	गुट्टा गट्टुक
his (prox.)	ईनद
his own (dist.)	सततद
hissing.sound	पसपस इन्‍मड़
hit	अंटावाटमड
hit (accidentally)	दल्‍गमड़
hit against	तेहचि हुकमड़
hive	तॆने तेट्टे
hoe	कुट्टुडु
hoist	एकिच्मड
hold	पीयुड
hold between teeth	हंदी
hold.nose.tightly	मोसोटुन गट्टिगा पियमड़
hole	बोंगा
hole (in tree)	मरा बॊलु
·	मरा बॊलु
hole.in.the.ground	कोय्या पोक्‍का
hole.of.fox	नक्‍का सोर्रे
holi	होली (कामुन पुन्नम)
hollow	पोक्राल
hollow space	मरा बॊलु
holy place	पेन-गडा
home	लॊन
honey	तॆने
·	तॆने
honeycomb	तॆने तेट्टे
honey-comb (part of)	तॆने तेट्टे
·	हुरवे तल्‍ला
honour	मान
·	मान-मर्यादा
·	वातोना उंदि प्रकारता सेवा कियमड़
hood of cobra	पडगे
hoof	डेक्‍का
hope	आशे पडमड़
horizontal beam	कन्‍ड्ररां
·	गुर्रम
horn	कोम्‍कु
·	कोर
horn (to blow)	तुताकोम
hornet	कुम्मर पुडी
horse	गुर्रम
horse (kind of)	केडा गुर्रम
horse (minature, idol)	गुर्रम
horse(male)	पोतू गुर्रम
horse-shaped beam	गुर्रम
horseshoe	नाल
hot	कास्ता
hot (become)	कासुडु
hot season	एद्दी कालम
·	एद्दी कालम
hot water pot	एर काच्‍हना अळ्‍का
hot.taste.of.chillies	कारम
hour	गंटा
·	वॆला
hours (time)	एगनेंके
house	लॊन
house (multiple levels)	मिद्दे
house (part of)	जापुर दोहामड़
·	सेंकु गुंजा
house foundation	ओड्डू
house lizard	कुदूर डोक्के
housemaid	पासी कबड़ कियनद
houses	लोह्‍क
how can it be?	इल्‍हा बल्‍हा
how many?	बचोक
how many?(m.)	बचटूर
how so?	इहिन बहन
how?	बहन
human.blood	मनकना नेत्तुर
hump	उपरोम
hundred	नूर
hunger	करुव
hunger strikes	करवेस्मड़
hunt (game)	सिकारि कर्समड़
hunt (work)	सिकारी कियमड़
hunting	सिकार
hurriedly	गाबरा
hurriedly (work not done well)	इस्‍टम हिल्‍वा कबड कियमड़
hurt	अय्‍यो
·	नोयमड़
husband	मुय्‍दो
husband and wife	मुत्तो-मुय्‍दो
husband's brother's son	मुरिया मर्री(मुय्‍दोना दादाना मर्री)
husband's mother	पॊरड
husk	तोलू
hut	गुड्से
hydrogen	हायड्रोजन

I - i

I	नन्ना
ice	करगना बंडा
·	बर्प
idle (person)	लंडु
idol (horse)	गुर्रम
if	अय्ते
·	ओक्‍कला
ignite	पोत्तुडु
iguana	उर्रुम
immediately	जप्‍पना
immersed (to be)	मुडगुड
important	कबडतद
·	कास
important (m.)	पेद्दोड
imprint (foot)	अडगुल्‍कु
imprint (thumb)	अच्‍हमड़
impure (liquid)	पातूर
in	लोप्‍पो
in earlier times	तोल्ले-जमानाते
in front of	मुन्ने
in order to	हाटीं
in that way	अहन
in the manner	लेसीं
in the middle (of)	नड्डुम
in the morning	हक्‍केरे
in this way	इहिन
in vain (to be)	बह्‍कांचुड
in.hole	बोलकुने
in.nest	गूडाते
in.progress	आयुडु
in.the.field	नॆलीने
in.the.shade	पंदिरीहिडू
inauguration	नेंग्नेके
in-between	नड्डुम
incise	सीरमड
increase	एक्को आयमड़
·	एक्को कियमड़
index finger	हुपसना वॆलु/वड़जु
Indian cuckoo	कोगिल पिट्टे
Indian horse-radish tree	मुल्गे (मर्रा)
indigestion	पीर लोपुड
infest (fruit or wound)	पुड़ि
inhale	मूस्‍कुड
·	वळी इग्‍गुडु
·	वळी लोप्‍पोड़्क इग्‍गुमड़
inheritance	वारसदार
injection	सूदी
ink	साई
inner room	लोप्‍पोटा अर्रा
insect (kind of)	कर्रे पेत्ते
·	टीकिर
insect bites	पोसम्मा बर्रां
insect rust on plants	नुसि
insects	पुड़कु
insert	लोप्‍पो वाटमड़
inside	लोप्‍पो
inside (go)	पोद-
inside.cave	सोर्रेने
inside.earth	बूमीता लोप्‍पो
insides	पोदूर
insipid	सप्‍पगा
instance	टाईम
instrument (to play)	नेकूस-
instrument string	तीगे
insufficient to wear (be)	कुत्तेम कियमड़
interest rate	वड्डी
internal organ (kind of)	गुंडे काया
intestine	उल्‍वाकाया
iron	कच्‍चि
Iron	इनुम
iron frying pan	कंचुड
iron spike	मुल्‍की
iron.ore	कच्‍चि बंडा
iron-nail	मोल्‍ला
irritate	मॆयमड़
is (there)	मंता
is necessary	अवसरम
it (dist.)	अद
it (prox.)	इद
it is pleasing	गम्मतिते मनमड़
itch	गोकुड(कय्‍कुने)
·	गोकूड
·	दुर्दा
itch.to.head	तला दुर्दा तेदमड़
its (dist.)	अदुन/दान
its (prox.)	दानद

J - j

jab (accidentally)	गिच्मड़
jagged	वंकर-डिंकरा
jaggery	बेल्‍लम
jamun tree	नॆड़ी मरा
jaw	दवडा
jewellery	वीसोरा
join	अंटकुन्‍मड
·	कलियुडु
·	जोडांच्मड़
joint (in bamboo)	गन्ने
jokes	मरमीने सात्राल्‍क
jowar.husk	बोंडा
jowar.meal	गट्का
jug	तालि
juice	रसम
jump	दुन्‍कुमड़
jungle	केडा
jungle fly (big)	गुड्डी वीसी
jungle fowl (kind of)	केडाकोर

K - k

kangaroo	कंगारु
keep	इर्रुडु
keep person forcibly	बंद कियमड़
keep watch	कापाडमड़
kernel of chironji fruit	पल्‍कुल्‍कु
kerosine.oil	मंटनिय्
key	तालम कय
kick (a)	काल देब्‍बा
kick (to)	सिन्नारी-की-
kill	हव्‍कुडु
·	हव्‍कुडु
kind	जाति
·	तीर
kind of gum	जिगुर
kind of tree	अंदूग मरा
kind.of.bird	गुर्ती पिट्टे
·	पच्‍चारीला
·	पेसेल पिट्टे
·	बुर्सिद्वा
·	बेंडे पिट्टे
·	मंगल कत्ती
·	माला गोर्रेंका
kind.of.cobra	गोदमा नागुम
·	पाला नागुम
kind.of.crocodile	पिड्‍का मग्‍गुर
kind.of.fish	कोडपा जिम्मा
·	गुड्डी नर्मे
·	बल्‍के
kind.of.jewellery.on.nose	पौडम
kind.of.non.poisonous.snake	ताडजेर्री
kind.of.snake	उर्ला पेंजेर
·	नीला नागुम
kind.of.tree	बूरका मरा
kind.of.waterbird	जिल्मा
kind.of.worm	गुर्रम पुडी
·	तोका पुडी
kind.of.yoga	पीटुन लोपोळ्‍क-पलात्‍क कियमड़
·	पीटुन लोप्‍पोड़्क ओयमड़
·	पीर पलाते तायमड़
kindness	दया
king	राजाल
kiss	बुर्रुड
kitchen	अट्टना अर्रा
kite	पतंग
kite (bird)	कोकसम
knead	पिस्कमड
knee	टोंग्रा
kneecap	कुंडम कय
knife (large)	पेदाकसेर
knife (small)	कसेर
knock out	कंडतेम
knot	तोर्रा
·	मुड़ि
knot (in wood)	गन्ने
know	एरपाट मन्‍मड
·	एर्का
knowledge	एर्का आयमड़
known (to be)	एरपाट

L - l

labour pain	आपती अरमड़
lacker(polish),wax	लक्‍का
ladder	निच्‍चेना
ladder (part of)	सीपा
ladies-finger	बेंडे काया
ladle	हुक्‍कुड़
Lambadi (f.)	लंबडदि
Lambadi (m.)	लंबाडोड़(म.)
lame	कुंटोड
lame person (f.)	कूटि
lame person (m.)	कूटाल
lamp (earthen, oil)	दीवा
lamp (kerosene)	सिम्‍नि
lampstand	दीसोडी
·	वेड़सी इर्रना उंदि जॆगा
landslide	बूमी पोक्‍का अर्रमड़
language (in pl.)	पोल्‍ले
large bag	पॊता
large basket	बिरडा
large drum	डोल
large forest	नर्रा केडा
large green fly	कच्चि-वीसि
large.legs	पेद्दा काल्‍क
lash	दोहमड़
last	तग-
last meal with guests	अर्सुकुन्‍मड़
last year	नीरे
late (to be)	आल्‍सेम आयमड
·	आल्‍सेम कियमड़
lateness	आल्‍सेम
latrine	उळ्‍कना कॊली
laugh	कव्‍वुडु
launder	हुक्‍कुड़
lawyer	वकीलु
lay (eggs)	दोसमड़
lay down (offering)	पडीं
laying.of.egg	मेस्‍क पेल्‍कमड़
lazy	गड्‍सुतनम
·	मज्‍जू
lazy (person)	लंडु
lazy man	मज्‍जू मनकल
lead	सीसा
leaf	आकि
leaf cup	डोप्पा
leaf for smoking	सोंगा आकी
leaf hat	गिंड़गीं
leaf plate	कूडी
leak (slowly)	वडुडु
leak (with force)	पॊंगुड़
lean against	बटाइक हियमड़
