Copy of Google spreadsheet


	translit	ipa	type	name	native name	number value	
cyrillic repertoire
ЀЁЂЃЄЅІЇЈЉЊЋЌЍЎЏАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюяѐёђѓєѕіїјљњћќѝўџѠѡѢѣѤѥѦѧѨѩѪѫѬѭѮѯѰѱѲѳѴѵѶѷѸѹѺѻѼѽѾѿҀҁ҂҃҄҅҆҇҈҉ҊҋҌҍҎҏҐґҒғҔҕҖҗҘҙҚқҜҝҞҟҠҡҢңҤҥҦҧҨҩҪҫҬҭҮүҰұҲҳҴҵҶҷҸҹҺһҼҽҾҿӀӁӂӃӄӅӆӇӈӉӊӋӌӍӎӏӐӑӒӓӔӕӖӗӘәӚӛӜӝӞӟӠӡӢӣӤӥӦӧӨөӪӫӬӭӮӯӰӱӲӳӴӵӶӷӸӹӺӻӼӽӾӿԀԁԂԃԄԅԆԇԈԉԊԋԌԍԎԏԐԑԒԓԔԕԖԗԘԙԚԛԜԝԞԟԠԡԢԣԤԥԦԧԨԩԪԫԬԭԮԯⷠⷡⷢⷣⷤⷥⷦⷧⷨⷩⷪⷫⷬⷭⷮⷯⷰⷱⷲⷳⷴⷵⷶⷷⷸⷹⷺⷻⷼⷽⷾⷿꙀꙁꙂꙃꙄꙅꙆꙇꙈꙉꙊꙋꙌꙍꙎꙏꙐꙑꙒꙓꙔꙕꙖꙗꙘꙙꙚꙛꙜꙝꙞꙟꙠꙡꙢꙣꙤꙥꙦꙧꙨꙩꙪꙫꙬꙭꙮ꙯꙰꙱꙲꙳ꙴꙵꙶꙷꙸꙹꙺꙻ꙼꙽꙾ꙿꚀꚁꚂꚃꚄꚅꚆꚇꚈꚉꚊꚋꚌꚍꚎꚏꚐꚑꚒꚓꚔꚕꚖꚗꚘꚙꚚꚛꚜꚝꚞꚟᲀᲁᲂᲃᲄᲅᲆᲇᲈ


difference
ЀЂЃЄЅІЇЈЉЊЋЌЍЎЏѐђѓєѕіїјљњћќѝўџѠѡѢѣѤѥѦѧѨѩѪѫѬѭѮѯѰѱѲѳѴѵѶѷѸѹѺѻѼѽѾѿҀҁ҂҃҄҅҆҇҈҉ҊҋҌҍҎҏҐґҒғҔҕҖҗҘҙҚқҜҝҞҟҠҡҢңҤҥҦҧҨҩҪҫҬҭҮүҰұҲҳҴҵҶҷҸҹҺһҼҽҾҿӀӁӂӃӄӅӆӇӈӉӊӋӌӍӎӏӐӑӒӓӔӕӖӗӘәӚӛӜӝӞӟӠӡӢӣӤӥӦӧӨөӪӫӬӭӮӯӰӱӲӳӴӵӶӷӸӹӺӻӼӽӾӿԀԁԂԃԄԅԆԇԈԉԊԋԌԍԎԏԐԑԒԓԔԕԖԗԘԙԚԛԜԝԞԟԠԡԢԣԤԥԦԧԨԩԪԫԬԭԮԯⷠⷡⷢⷣⷤⷥⷦⷧⷨⷩⷪⷫⷬⷭⷮⷯⷰⷱⷲⷳⷴⷵⷶⷷⷸⷹⷺⷻⷼⷽⷾⷿꙀꙁꙂꙃꙄꙅꙆꙇꙈꙉꙊꙋꙌꙍꙎꙏꙐꙑꙒꙓꙔꙕꙖꙗꙘꙙꙚꙛꙜꙝꙞꙟꙠꙡꙢꙣꙤꙥꙦꙧꙨꙩꙪꙫꙬꙭꙮ꙯꙰꙱꙲꙳ꙴꙵꙶꙷꙸꙹꙺꙻ꙼꙽꙾ꙿꚀꚁꚂꚃꚄꚅꚆꚇꚈꚉꚊꚋꚌꚍꚎꚏꚐꚑꚒꚓꚔꚕꚖꚗꚘꚙꚚꚛꚜꚝꚞꚟᲀᲁᲂᲃᲄᲅᲆᲇᲈ


latin panel
a e ė ē i ĭ ɨ i͡u i͡a o u y b ɕ ch g d f ɡ j ʲ k kh l ɫ m n p r s ʂ sh shch t ʦ ʨ v x z ʐ zh ʺ ʹ

transcription panel
б b b,bʲ
ч ch ʨ
д d d,dʲ
ф f f,fʲ
г g g,gʲ
к k k,kʲ
х kh x,xʲ
л l ɫ,lʲ
м m m,mʲ
н n n,nʲ
п p p,pʲ
р r r,rʲ
с s s,sʲ
ш sh ʂ
щ shch ɕɕ
т t t,tʲ
ц ʦ ʦ
в v v,vʲ
з z z,zʲ
ж zh ʐ
ъ ʺ -
ь ʹ ʲ

Б B B,Bʲ 
Ч CH ʨ 
Д D D,Dʲ 
Ф F F,Fʲ 
Г G G,Gʲ 
К K K,Kʲ 
Х KH X,Xʲ 
Л L Ɫ,Lʲ 
М M M,Mʲ 
Н N N,Nʲ 
П P P,Pʲ 
Р R R,Rʲ 
С S S,Sʲ 
Ш SH ʂ 
Щ SHCH ɕɕ 
Т T T,Tʲ 
Ц ʦ ʦ 
В V V,Vʲ 
З Z Z,Zʲ 
Ж ZH ʐ 
Ъ ʺ - 
Ь ʹ ʲ 

а a a
е e je,ʲe,e
ё ē jo,ʲo
и i i,ʲi,ɨ
й ĭ j
о o o
у u u
ы y ɨ
э ė e
ю i͡u ju
я i͡a ja

А A A
Е E JE,ʲE,E
Ё Ē JO,ʲO
И I I,ʲI,Ɨ
Й Ĭ J
О O O
У U U
Ы Y Ɨ
Э Ė E
Ю I͡U JU
Я I͡A JA




SIMILAR SHAPES
=============
Аа Ӑӑ Ӓӓ Ӕӕ Ѧѧ Ꙙꙙ
Бб
Вв
Гг Ѓѓ Ґґ Ғғ Ӷӷ Ӻӻ
Дд Ԫԫ Ꙣꙣ Ꚁꚁ Ꚉꚉ
Ее Ѐѐ Ёё Єє Ѥѥ Ҽҽ Ҿҿ Ӗӗ Әә Ӛӛ Ээ Ӭӭ
Жж Җҗ Ӂӂ Ӝӝ
Зз Ҙҙ Ӟӟ Ӡӡ Ԑԑ Ꚅꚅ
Ии Йй Ѝѝ Ҋҋ Ӣӣ Ӥӥ Ꙡꙡ
Кк Ќќ Ққ Ҝҝ Ҟҟ Ҡҡ Ӄӄ Ԟԟ
Лл Љљ Ӆӆ Ԉԉ Ԓԓ Ԕԕ Ԡԡ Ԯԯ Ꙥꙥ
Мм Ӎӎ Ꙧꙧ
Нн  Њњ Ңң Ҥҥ Ӈӈ Ӊӊ Ԋԋ Ԣԣ Ԩԩ
Оо Ѳѳ Ѹѹ Ѻѻ Ӧӧ Өө Ӫӫ Ꙩꙩ Ꙫꙫ Ꙭꙭ ꙮ Ꚙꚙ Ꚛꚛ
Пп Ҧҧ Ԥԥ
Рр Ҏҏ Ԗԗ
Сс Ҁҁ Ҫҫ
Тт Ђђ Ҕҕ Ћћ Ҭҭ Ҵҵ Ԏԏ Ꚋꚋ Ꚍꚍ Ꚑꚑ
Уу Үү Ұұ Ӯӯ Ӱӱ Ӳӳ
Фф Ѱѱ
Хх Ҳҳ Ӽӽ Ӿӿ Ԕԕ
Цц Џџ Ꚏꚏ
Чч Ҷҷ Ҹҹ Ӌӌ Ӵӵ Ꚇꚇ Ꚓꚓ
Шш Щщ Ꚗꚗ
Ьь Љљ Њњ Ѣѣ Ҍҍ Ъъ Ыы Ӹӹ Ꙏꙏ Ꙑꙑ Ꙓꙓ ꚜ ꚝ
Юю Ꙕꙕ
Яя Ԙԙ

Іі Її Ӏӏ Ꙇꙇ Ѩѩ Ꙗꙗ Ꙝꙝ
Ѡѡ Ѽѽ Ѿѿ Ԝԝ Ꙍꙍ
Һһ Ԧԧ Ꚕꚕ ћ ђ

Ԁԁ Ԃԃ
Ԍԍ
Јј
Ԛԛ
Ѕѕ Ꙅꙅ Ꚃꚃ
Ѵѵ Ѷѷ
Ꙁꙁ Ꙃꙃ

Ѫѫ Ѭѭ Ꙛꙛ Ꙉꙉ
Ѯѯ
Ҩҩ
Ԅԅ Ԇԇ
Ԭԭ
Ꙋꙋ
Ꙟꙟ
 ================
